match_id,player_id,started,minutes_played,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,progressive_passes,key_passes,progressive_carries,tackles,interceptions,blocks,yellow_cards,red_cards,saves,xg,xag,pass_pct,save_pct,psxg
ARG_20221213_Croatia,27,False,61,0,0,1,1,36,39,0,0,0,4,1,4,0,0,0,0.014,0.0,,,
ARG_20221213_Croatia,18,False,90,0,0,0,0,29,34,0,0,0,1,1,2,1,0,0,0.0,0.0,,,
ARG_20221213_Croatia,28,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,14,False,29,0,0,0,0,8,9,0,0,0,1,0,0,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,36,False,85,0,0,2,1,30,34,0,2,0,1,1,5,0,0,0,0.21,0.0,,,
ARG_20221213_Croatia,34,False,17,0,0,0,0,13,15,0,0,0,1,1,0,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,43,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,9,False,85,0,0,0,0,28,40,0,0,0,3,2,0,0,0,0,0.0,0.0,,,
ARG_20221213_Croatia,54,False,73,2,0,2,2,14,18,0,0,0,0,0,2,0,0,0,0.695,0.0,,,
ARG_20221213_Croatia,35,False,90,0,0,1,1,41,47,0,1,0,4,0,1,0,0,0,0.028,0.0,,,
ARG_20221122_Saudi_Arab,15,False,90,0,0,1,0,84,89,0,1,0,1,2,1,0,0,0,0.048,0.0,,,
ARG_20221122_Saudi_Arab,41,False,90,1,0,4,3,33,46,0,3,0,0,0,1,0,0,0,1.071,0.0,,,
ARG_20221122_Saudi_Arab,23,False,70,0,0,1,1,27,34,0,0,0,2,2,5,0,0,0,0.636,0.0,,,
ARG_20221122_Saudi_Arab,16,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,33,False,90,0,0,1,0,66,86,0,0,0,1,1,4,0,0,0,0.051,0.0,,,
ARG_20221122_Saudi_Arab,52,False,90,0,0,2,0,13,16,0,0,0,0,0,1,0,0,0,0.165,0.0,,,
ARG_20221122_Saudi_Arab,27,False,58,0,0,0,0,55,57,0,1,0,3,2,1,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,22,False,20,0,0,0,0,18,23,0,2,0,0,1,2,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,18,False,58,0,0,0,0,55,61,0,0,0,0,1,1,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,28,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,14,False,32,0,0,1,0,29,32,0,0,0,1,0,0,0,0,0,0.332,0.0,,,
ARG_20221122_Saudi_Arab,36,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,8,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,34,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
ARG_20221122_Saudi_Arab,43,False,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,
