match_id,player_name,date,competition,opponent,started,position,minutes_played,goals,assists,shots,shots_on_target,xg,xag,passes_completed,passes_attempted,key_passes,progressive_passes,tackles,interceptions,blocks,yellow_cards,red_cards,saves,goals_against_gk,clean_sheet
ARG_20221218_France,Germán Pezzella,2022-12-18,FIFA World Cup,France,False,,-25,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,0,,,
ARG_20221218_France,Rodrigo De Paul,2022-12-18,FIFA World Cup,France,True,Right Center Midfield,101,0,0,2,1,0.103,0.0,57,68,1,0,1,2,1,0,0,,,
ARG_20221218_France,Lautaro Martínez,2022-12-18,FIFA World Cup,France,False,,-11,0,0,4,1,0.584,0.0,5,7,0,0,0,0,0,0,0,,,
ARG_20221218_France,Leandro Paredes,2022-12-18,FIFA World Cup,France,False,,-11,1,0,1,1,0.783,0.0,15,15,0,0,1,0,0,1,0,,,
ARG_20221218_France,Marcos Acuña,2022-12-18,FIFA World Cup,France,False,,27,0,0,0,0,0.0,0.0,19,28,2,0,1,0,3,1,0,,,
ARG_20221218_France,Cristian Romero,2022-12-18,FIFA World Cup,France,True,Right Center Back,90,0,0,0,0,0.0,0.0,60,71,0,0,1,2,4,0,0,,,
ARG_20221218_France,Guido Rodríguez,2022-12-18,FIFA World Cup,France,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221218_France,Lisandro Martínez,2022-12-18,FIFA World Cup,France,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221218_France,Alexis Mac Allister,2022-12-18,FIFA World Cup,France,True,Left Center Midfield,115,0,1,3,1,0.054,0.0,45,52,0,0,2,0,6,0,0,,,
ARG_20221218_France,Gonzalo Montiel,2022-12-18,FIFA World Cup,France,False,,30,1,0,2,1,0.804,0.0,8,13,2,0,1,0,1,1,0,,,
ARG_20221218_France,Exequiel Palacios,2022-12-18,FIFA World Cup,France,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221218_France,Thiago Almada,2022-12-18,FIFA World Cup,France,False,,30,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,,,
ARG_20221218_France,Nahuel Molina,2022-12-18,FIFA World Cup,France,True,Right Back,90,0,0,0,0,0.0,0.0,39,56,0,0,1,1,2,0,0,,,
ARG_20221218_France,Julián Álvarez,2022-12-18,FIFA World Cup,France,True,Center Forward,101,0,0,1,1,0.06,0.0,26,32,1,0,0,2,2,0,0,,,
