player_name,league,club,season,date,opponent,is_home,result,minutes,goals,shots,xg,xag,assists,key_passes,yellow_cards,red_cards
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-12-04,,,,90,0,1,0.06021132692694664,0.8552137613296509,1,3,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-12-08,,,,90,1,3,0.13097481429576874,0.0,0,0,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-12-15,,,,90,0,2,0.19581176340579987,0.1756904274225235,1,3,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-12-22,,,,90,0,2,0.12219349294900894,0.479601114988327,0,2,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-12-26,,,,90,0,1,0.03491940721869469,0.5662450194358826,0,3,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2024-12-30,,,,90,0,2,0.15654750168323517,0.2412344515323639,0,5,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-01-04,,,,90,0,2,0.10718178004026413,0.0,0,0,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-01-14,,,,90,0,2,0.09451548010110855,0.4441186189651489,0,7,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-01-25,,,,90,0,1,0.05308854952454567,0.10994888842105865,0,2,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-02-03,,,,90,0,2,0.30644652247428894,0.0,0,0,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-02-14,,,,90,0,1,0.023189885541796684,0.0,0,0,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-02-22,,,,90,1,4,1.3382147550582886,0.18733875453472137,0,2,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-02-25,,,,90,0,1,0.06962345540523529,1.024754285812378,0,6,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-03-09,,,,90,0,4,0.404811292886734,0.16747276484966278,1,6,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-03-16,,,,90,0,2,0.04752182587981224,0.056608784943819046,0,2,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-04-03,,,,90,1,2,0.6035613417625427,0.0,0,0,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-04-06,,,,90,0,4,0.13940821588039398,0.19520090520381927,0,4,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-04-13,,,,90,0,3,0.4857187569141388,0.657586395740509,0,5,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-04-20,,,,90,0,0,0.0,0.2274574488401413,1,2,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-04-26,,,,90,0,1,0.03716117888689041,0.11454232037067413,1,2,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-05-04,,,,89,1,2,0.43549975752830505,0.3853435218334198,0,2,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-05-11,,,,90,0,1,0.03883439302444458,0.17956550419330597,0,3,1,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-05-16,,,,90,0,1,0.027904964983463287,0.0,0,0,0,0
Enzo Fernández,ENG-Premier League,Chelsea,2024-25,2025-05-25,,,,90,0,0,0.0,0.06301070004701614,0,1,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-08-16,,,,90,0,0,0.0,0.050078392028808594,0,1,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-08-24,,,,90,0,0,0.0,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-09-01,,,,90,0,1,0.34333536028862,0.0,0,0,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-09-14,,,,81,0,0,0.0,0.0,0,0,0,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-09-21,,,,90,0,1,0.5962288975715637,0.0,0,0,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-09-29,,,,90,0,4,0.1675492227077484,0.04284628853201866,0,1,1,0
Lisandro Martínez,ENG-Premier League,Manchester United,2024-25,2024-10-19,,,,90,0,1,0.01609337329864502,0.014510761946439743,0,1,0,0
